orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,disposition,survey
14.74914825,2.89,6.0995,430.2,874.0,137.91,5847.0,1.402,4.191,CONFIRMED,Kepler
21.81295996,3.38,4.3791,1175.4,639.0,39.33,5601.0,0.999,4.41,CONFIRMED,Kepler
7.91936937,10.34,3.3148,15148.0,814.0,104.0,5690.0,0.776,4.588,FALSE POSITIVE,Kepler
1.028436523,72.77,1.8606,8098.0,1947.0,3400.48,6228.0,0.99,4.428,CANDIDATE,Kepler
15.37562369,11.01,3.3169,15337.0,600.0,30.54,4986.0,0.833,4.496,CONFIRMED,Kepler
8.10363271,2.11,3.161,887.9,687.0,52.82,4861.0,0.732,4.574,CONFIRMED,Kepler
4.71510843,1.46,2.506,417.5,823.0,108.84,4861.0,0.732,4.574,CONFIRMED,Kepler
6.365839713,2.44,2.9721,780.7,914.0,165.33,5776.0,0.849,4.554,CONFIRMED,Kepler
5.97581754,3.86,3.065,962.4,1047.0,284.25,6108.0,0.997,4.471,FALSE POSITIVE,Kepler
2.446737317,26.25,4.7211,1177.9,1261.0,597.19,5764.0,0.863,4.548,FALSE POSITIVE,Kepler
3.04033046,8.99,1.8411,10859.0,1021.0,257.29,5035.0,0.791,4.519,CONFIRMED,Kepler
15.33528675,5.0,3.897,3081.4,610.0,32.67,5251.0,0.817,4.581,CONFIRMED,Kepler
7.95825328,1.06,4.377,50.0,1074.0,314.15,5847.0,1.402,4.191,CONFIRMED,Kepler
31.33046135,6.5,5.176,5073.8,481.0,12.61,5251.0,0.817,4.581,CONFIRMED,Kepler
3.9043425,12.28,3.831,16228.0,1104.0,351.05,5810.0,0.898,4.526,FALSE POSITIVE,Kepler
9.286358079,17.61,3.49949,44791.0,796.0,95.03,5670.0,0.821,4.523,FALSE POSITIVE,Kepler
3.951405455,31.44,2.1862,2453.9,1133.0,388.71,6046.0,0.869,4.539,FALSE POSITIVE,Kepler
23.65369415,7.89,8.2183,3341.8,731.0,67.65,5739.0,1.384,4.191,CONFIRMED,Kepler
13.23352214,3.06,6.7372,504.6,888.0,146.67,5739.0,1.384,4.191,CONFIRMED,Kepler
6.15560285,2.32,4.9843,285.0,1146.0,406.94,5739.0,1.384,4.191,CONFIRMED,Kepler
2.090811305,1.62,3.388,115.9,1642.0,1718.04,5739.0,1.384,4.191,CONFIRMED,Kepler
3.180027898,1.53,3.5797,120.3,1458.0,1066.86,5847.0,1.402,4.191,CONFIRMED,Kepler
50.4467417,2.67,7.159,370.3,568.0,24.64,5739.0,1.384,4.191,CONFIRMED,Kepler
11.76307164,2.35,2.9076,1037.3,616.0,33.99,4959.0,0.756,4.603,CONFIRMED,Kepler
