orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,label,survey
3.3575477,12.6518,1.788,26240.0,883.0,101.253,5013.0,0.75,4.61,1,TESS
30.8261043,3.18,5.914,742.2,544.0,20.68,5559.0,0.914,4.47,1,Kepler
8.14515981,3.43,5.073,446.8,1050.0,287.91,5896.0,1.24,4.197,1,Kepler
6.24667547,14.93,11.261,396.8,1902.0,3095.83,4604.0,6.221,2.936,1,Kepler
45.1178526,2.78,3.737,389.2,517.0,16.87,5585.0,1.038,4.339,0,Kepler
9.08937826,5.35,6.255,779.8,1104.0,351.45,6739.0,1.275,4.332,0,Kepler
1.8286961,21.4433,3.37,7283.0,3235.0,18194.7,6046.3,1.23,4.43,0,TESS
207.24785,1.56,6.159,809.2,189.0,0.3,4339.0,0.553,4.711,1,Kepler
373.89398,2.51,27.66,730.0,206.0,0.42,5263.0,0.699,4.574,0,Kepler
5.194256813,41.77,7.25775,38851.0,1546.0,1349.96,6100.0,2.086,3.895,0,Kepler
18.11208877,96.62,6.7828,116630.0,1068.0,307.27,7323.0,1.722,4.167,0,Kepler
0.94895231,2.51,3.952,57.7,3464.0,33931.93,6661.0,3.067,3.666,0,Kepler
9.948701373,29.19,3.2922,2749.5,704.0,57.93,5152.0,0.786,4.517,0,Kepler
28.6620782,12.4971,4.351,2600.0,921.0,119.851,6280.0,1.72,4.05,0,TESS
2.61576515,1.06,2.777,120.4,1379.0,851.6,6088.0,0.958,4.446,1,Kepler
15.926632768,57.95,7.42888,271860.0,670.0,47.68,5496.0,0.917,4.471,0,Kepler
4.147021189,7.31,2.8997,3680.7,1258.0,590.84,5818.0,1.205,4.266,1,Kepler
19.67409703,1.78,3.7535,204.9,711.0,60.37,6023.0,1.031,4.423,1,Kepler
28.7796446,1.95,8.349,253.2,619.0,34.65,6000.0,1.044,4.45,1,Kepler
16.33269981,1.61,2.174,300.4,591.0,28.76,5208.0,0.772,4.563,1,Kepler
87.455958,70.11,18.257,1604.9,728.0,66.26,7700.0,2.111,4.018,0,Kepler
512.11636,1.47,9.557,315.4,198.0,0.36,5492.0,0.812,4.576,0,Kepler
1.519529227,11.12,5.1675,8372.5,1653.0,1766.31,6033.0,1.046,4.46,0,Kepler
50.6985408,3.58,5.972,610.9,595.0,29.58,5876.0,1.456,4.151,1,Kepler
27.0142622,2.0,5.385,287.6,677.0,49.65,5949.0,1.184,4.303,1,Kepler
370.46262,2.03,9.541,347.9,284.0,1.53,6295.0,1.08,4.401,0,Kepler
20.0731588,4.0506906,3.8449215,1152.9645461,736.1368293,69.3993155,6033.0,1.14849,4.37,0,TESS
6.3037582,13.147,3.757,1700.0,1798.0,1735.06,8502.0,3.08,3.78,0,TESS
2.233799622,28.63,3.04,2658.5,1287.0,650.73,5741.0,0.846,4.555,0,Kepler
10.29767658,39.14,6.649,655.5,1022.0,258.09,5671.0,1.608,4.075,0,Kepler
6.77408984,2.5,2.6215,520.3,1058.0,295.82,6246.0,1.092,4.433,1,Kepler
1.877350712,1.46,1.7478,185.6,1650.0,1755.2,6382.0,1.059,4.432,0,Kepler
1.366946478,43.45,3.37701,158640.0,1403.0,910.99,5353.0,0.757,4.527,0,Kepler
1.44445234,2.03,0.9753,200.7,1800.0,2479.44,5305.0,1.449,4.088,1,Kepler
16.473474,1.63,4.201,470.5,612.0,33.22,5364.0,0.754,4.529,1,Kepler
2.237489571,1.41,1.8119,315.8,1160.0,427.17,5265.0,0.81,4.58,1,Kepler
2.0881134,5.41738,2.307,730.0,2665.0,8383.12,6255.8,1.7,4.11,0,TESS
2.0958074,7.63843,2.992,2350.0,2226.0,4081.38,6793.0,1.6,4.2,0,TESS
5.2362026,75.83,3.148,2019.5,1378.0,853.62,6176.0,1.631,4.112,0,Kepler
2.5798051,25.2815,3.413,5740.0,2619.0,7814.19,6116.5,1.49,4.18,0,TESS
7.7121208,3.004038,2.4343481,728.4849109,981.4576128,219.2841258,5985.4,1.08958,4.4,1,TESS
6.87366398,12.01,7.0845,9766.9,859.0,128.52,5662.0,0.805,4.575,0,Kepler
8.17242644,3.29,3.902,864.3,858.0,127.95,5705.0,0.905,4.499,1,Kepler
5.93719982,1.47,3.95,175.6,1059.0,297.14,6102.0,1.026,4.457,0,Kepler
2.71603664,1.05,1.744,98.5,1360.0,807.43,6011.0,1.041,4.452,1,Kepler
3.964333304,37.09,4.7136,25886.0,1680.0,1881.78,5758.0,2.318,3.808,0,Kepler
6.90522317,4.54,3.533,420.3,1343.0,768.55,6596.0,1.721,4.135,0,Kepler
4.52977632,12.22,26.752,1582.2,2264.0,6213.27,8912.0,2.299,4.05,0,Kepler
90.08255562,49.2,19.7301,43252.0,666.0,46.58,6523.0,2.343,3.835,0,Kepler
4.3532339,16.2509,3.869,10270.0,1388.0,617.309,5914.0,1.59,4.07,1,TESS
4.6126736,1.6,3.0643,133.2,1294.0,663.8,6140.0,1.277,4.265,1,Kepler
4.7150255,17.6148,3.302,4566.0,1827.0,1853.5,5756.9,1.2,3.9,0,TESS
1.6156052,34.69,14.55,1582.0,2202.0,5539.33,6770.0,1.623,4.15,0,Kepler
4.347288783,2.36,2.1024,451.6,1174.0,449.79,5754.0,1.122,4.345,1,Kepler
235.2976173,82.92,87.013,23053.0,585.0,27.65,4894.0,5.568,2.968,0,Kepler
4.5445569,5.7177,1.462,30740.0,429.0,5.65747,3192.0,0.3,4.92,1,TESS
38.3775486,2.82,5.588,724.2,529.0,18.53,5481.0,1.036,4.369,1,Kepler
4.390513938,41.83,2.9472,46829.0,1401.0,910.71,6081.0,1.454,4.133,0,Kepler
370.50684,2.06,12.132,418.6,277.0,1.39,6360.0,0.999,4.458,0,Kepler
235.544698,2.13,8.93,299.3,316.0,2.36,5533.0,1.255,4.244,0,Kepler
14.83340944,2.54,3.927,783.0,694.0,54.74,5570.0,0.904,4.471,1,Kepler
215.15218,1.36,19.97,264.2,287.0,1.61,5914.0,0.828,4.563,0,Kepler
1.0754572,8.40705,1.832,690.0,2156.0,3593.53,6290.0,3.29,3.49,0,TESS
1.4822451,14.0641,1.595,21920.0,1278.0,442.993,5115.0,0.91,4.45,1,TESS
0.6923563,10.6207,0.803,810.0,3080.0,14950.4,6422.1,1.85,3.86,0,TESS
12.8177012,1.21,3.465,75.6,999.0,235.16,6290.0,1.385,4.151,0,Kepler
13.8532745,2.2098839,3.1969542,1068.1330554,450.7528526,9.7560707,3893.47,0.655766,4.58272,1,TESS
1.5078959,5.53091,2.759,1839.0,2762.0,9662.8,6635.0,1.3,4.35,0,TESS
4.954648,13.0889,3.639,7357.0,1386.0,612.686,6562.0,1.47,4.24,1,TESS
2.630090609,83.5,13.6817,516930.0,1551.0,1371.02,6315.0,1.108,4.292,0,Kepler
2.6915408,17.4501,3.986,7265.0,2267.0,4392.03,6955.0,1.96,4.04,1,TESS
3.246208,13.2996429,3.4201513,9405.9910446,1471.4303775,1107.8472213,6088.0,1.34548,4.24,1,TESS
1.12401084,0.61,3.052,43.6,1719.0,2058.79,5941.0,0.911,4.519,0,Kepler
0.50948306,1.22,3.14,74.6,3024.0,19778.63,6344.0,1.39,4.091,0,Kepler
68.538296,25.77,3.627,1087.0,1031.0,267.17,4687.0,8.123,2.613,0,Kepler
73.7578875,4.28,2.69,1836.9,375.0,4.66,5029.0,0.93,4.429,1,Kepler
1.339670241,1.27,1.895,28.6,3448.0,33385.02,8867.0,2.245,3.988,0,Kepler
119.8401019,26.96,3.6796,5448.7,255.0,1.0,4602.0,0.675,4.637,0,Kepler
1.926353494,1.33,2.5305,185.1,1484.0,1146.34,6063.0,0.899,4.481,0,Kepler
9.18244299,1.24,4.318,87.6,1052.0,289.74,6194.0,1.314,4.242,1,Kepler
5.6605693,2.4070872,1.6631704,3856.1060852,452.8709226,9.9407408,3551.0,0.374358,4.83982,1,TESS
3.479508244,444.46,3.9097,3000.4,3167.0,23775.98,4630.0,12.623,2.437,0,Kepler
3.6906759,1.36751,1.107,1657.0,479.0,8.77401,3469.0,0.31,4.9401,1,TESS
14.443127448,92.28,8.33598,41685.0,1182.0,462.07,5757.0,2.736,3.672,0,Kepler
11.29689442,1.74,4.623,198.5,907.0,160.18,6096.0,1.176,4.358,1,Kepler
259.85736,1.33,24.04,307.7,237.0,0.74,5374.0,0.744,4.61,0,Kepler
1.17409,49.6799,1.701,3680.0,3798.0,34547.8,8242.0,3.67,3.61,0,TESS
3.7783401,13.8305377,2.82963,24582.4117134,1033.0579657,269.1657299,5443.0,0.863922,4.54284,1,TESS
3.6525305,14.7302,4.153,9770.0,1553.0,967.919,5930.0,1.47,4.14,1,TESS
21.3781146,3.18,19.359,556.1,727.0,65.94,6218.0,1.131,4.417,0,Kepler
12.02295362,3.28,1.2667,778.6,776.0,85.78,5982.0,0.879,4.535,1,Kepler
2.4681015,1.22,2.83,172.8,1244.0,564.74,5516.0,0.872,4.466,0,Kepler
208.02789,1.04,10.82,255.0,196.0,0.35,4285.0,0.632,4.63,0,Kepler
2.6438856,3.812114,0.9689289,6404.7051471,594.0533593,29.4322068,3456.0,0.425432,4.8,1,TESS
11.1972769,2.62397,3.061,1301.0,672.0,33.9923,4953.9,0.76,4.59,1,TESS
2.6855915,3.5729712,2.0491187,488.2401788,1674.1918061,1856.700481,5796.0,1.51715,4.14,0,TESS
26.7575866,2.28,5.858,455.3,660.0,44.86,6215.0,1.052,4.44,1,Kepler
13.6823798,1.43,4.153,179.6,802.0,97.74,6102.0,1.026,4.457,1,Kepler
4.804469712,30.97,3.51946,132620.0,958.0,198.67,5561.0,0.809,4.558,0,Kepler
4.206109,0.91,5.16,120.0,999.0,235.01,5480.0,0.802,4.522,0,Kepler
0.8134733,13.1118363,1.262964,25866.83474,1302.836235,680.8952697,4400.0,0.757649,4.64555,1,TESS
494.62409,1.04,8.36,307.0,145.0,0.11,4302.0,0.604,4.647,0,Kepler
1.88984957,73.04,19.45,249670.0,1221.0,526.5,5328.0,0.716,4.571,0,Kepler
5.80181368,4.52,4.119,269.6,1491.0,1168.82,6020.0,2.097,3.86,0,Kepler
0.934926138,58.67,3.1925,131940.0,1957.0,3455.76,5962.0,1.078,4.423,0,Kepler
9.380632783,46.72,4.295,65833.0,846.0,120.99,5926.0,0.913,4.519,0,Kepler
12.4247333,1.47,16.828,40.5,1284.0,642.95,6632.0,2.193,3.86,0,Kepler
5.47033376,1.15,3.1441,112.0,1090.0,334.27,5782.0,1.095,4.34,1,Kepler
4.3433389,24.4433,4.514,1100.0,4366.0,60347.5,9900.0,3.83,3.68,0,TESS
7.00821787,1.29,3.812,116.4,1062.0,300.58,5970.0,1.2,4.317,1,Kepler
384.92275,1.64,9.98,184.8,298.0,1.87,6070.0,1.191,4.186,0,Kepler
0.952377862,28.44,4.0869,2122.3,1713.0,2023.36,5662.0,0.863,4.524,0,Kepler
1.65746034,0.54,4.572,22.9,1663.0,1808.13,5860.0,1.13,4.326,0,Kepler
9.2016496,13.4373959,4.4317333,13812.3233628,963.8325055,203.9516754,6190.0,1.12271,4.36651,1,TESS
2.7917911,6.0002066,1.4664254,1018.9771433,1435.6065273,1003.8358436,6071.0,1.16271,4.36,0,TESS
1.411230023,1.71,1.4325,388.2,1164.0,436.04,4575.0,0.737,4.564,1,Kepler
3.003901,16.7208629,3.8750477,10093.1737819,1590.5768607,1512.6541471,6052.0,1.50633,4.1353,1,TESS
40.606895,2.67,5.756,657.5,521.0,17.4,5538.0,1.027,4.384,1,Kepler
1.20608769,44.46,2.2272,1660.6,1941.0,3353.78,5657.0,1.355,4.186,0,Kepler
0.659299289,30.54,0.6908,1118.5,1979.0,3623.47,5791.0,0.852,4.524,0,Kepler
2.559236603,37.66,1.6706,11273.0,1296.0,665.95,5955.0,0.883,4.534,0,Kepler
46.7162336,2.03,7.259,345.5,531.0,18.74,5856.0,1.092,4.386,1,Kepler
21.294733865,71.55,7.60143,123180.0,771.0,83.71,6039.0,1.278,4.242,0,Kepler
14.152,10.6751,3.599,3800.0,1148.0,288.531,5823.9,1.28,4.6,0,TESS
2.5432595,10.6224,1.12,21300.0,615.0,23.828,3757.0,0.66,4.61,1,TESS
11.8288843,1.18,3.337,191.0,730.0,67.13,5653.0,0.857,4.551,1,Kepler
