orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,survey,original_index
1.151244686,40.32,1.272,269.6,1756.0,2253.09,6086.0,0.921,4.511,Kepler,1769
2.42088277,2.27,2.812,223.3,1616.0,1615.12,5583.0,1.53,4.077,Kepler,1772
38.103908,4.08,3.837,961.1,456.0,10.22,5250.0,0.771,4.522,Kepler,1784
5.24242029,3.86,6.413,334.9,1367.0,825.0,5383.0,1.829,3.824,Kepler,1789
37.8034121,2.95,4.641,678.1,460.0,10.57,5329.0,0.819,4.572,Kepler,1802
131.485184,3.03,5.294,557.8,400.0,6.08,5765.0,1.242,4.236,Kepler,1804
16.2908527,0.52,3.176,44.1,622.0,35.48,5425.0,0.797,4.549,Kepler,1805
147.281212,2.28,7.375,452.8,353.0,3.69,5708.0,1.054,4.365,Kepler,1810
16.6671415,0.7,3.526,175.0,469.0,11.47,4729.0,0.525,4.726,Kepler,1824
34.135676,13.98,9.12,622.0,1526.0,1281.86,7818.0,5.555,3.365,Kepler,1841
86.130534,1.47,3.321,285.2,391.0,5.55,5830.0,0.876,4.54,Kepler,1859
8.46354384,2.51,1.4078,792.2,805.0,99.37,5427.0,0.887,4.495,Kepler,1862
176.331289,2.38,13.89,109.8,505.0,15.4,6146.0,2.251,3.8,Kepler,1867
6.2141496,4.27,10.141,183.4,1506.0,1216.48,5295.0,3.152,3.617,Kepler,1871
17.65737838,2.45,3.509,2155.7,350.0,3.55,3745.0,0.47,4.784,Kepler,1876
7.5966998,1.32,3.667,127.5,964.0,204.34,5716.0,1.091,4.343,Kepler,1896
1.204686597,1.55,0.823,233.2,1711.0,2026.81,5780.0,1.0,4.438,Kepler,1909
6.78341325,20.75,3.5437,501.2,2628.0,11295.61,5096.0,8.769,2.435,Kepler,1931
6.95787,1.39,4.537,182.3,1047.0,284.4,6240.0,1.025,4.406,Kepler,1935
9.4907638,1.05,2.713,197.4,704.0,58.01,5290.0,0.746,4.604,Kepler,1942
0.76196247,1.08,1.282,190.2,1638.0,1710.11,5167.0,0.787,4.555,Kepler,1943
2.19251903,0.37,1.845,18.1,1225.0,533.25,5450.0,0.842,4.563,Kepler,1956
39.7557642,13.72,1.958,621.8,325.0,2.64,4405.0,0.511,4.732,Kepler,1961
10.27127527,0.94,3.029,343.5,510.0,16.02,4405.0,0.511,4.732,Kepler,1962
4.267961416,1.42,1.3427,127.4,1371.0,834.16,6395.0,1.237,4.275,Kepler,1978
18.1209388,1.68,3.781,504.2,543.0,20.58,4905.0,0.774,4.536,Kepler,1984
3.98864999,1.15,3.516,94.2,1233.0,547.73,5692.0,1.188,4.288,Kepler,1986
25.1123362,2.22,7.922,398.8,691.0,53.73,6133.0,1.112,4.367,Kepler,1988
2.121023807,5.75,0.3673,263.9,1573.0,1446.5,6133.0,1.112,4.367,Kepler,1989
3.55557922,0.84,3.24,60.4,1270.0,615.03,5839.0,1.082,4.337,Kepler,1990
8.28157072,1.37,3.1,139.2,956.0,197.82,5640.0,1.175,4.288,Kepler,2024
0.82628442,0.96,0.9603,134.9,1629.0,1654.69,5218.0,0.829,4.548,Kepler,2025
6.37705295,2.15,1.949,502.8,935.0,180.66,5672.0,0.965,4.503,Kepler,2026
